symptom,rate
experienced_fever,0.762962962962963
experienced_cough,0.43703703703703706
experienced_headache,0.14444444444444443
experienced_sore_throat,0.12962962962962962
experienced_shortness_of_breath,0.07407407407407407
experienced_chills,0.05185185185185185
experienced_runny_nose,0.04814814814814815
experienced_fatigue,0.04814814814814815
experienced_muscle_aches,0.044444444444444446
experienced_diarrhea,0.037037037037037035
experienced_joint_pain,0.03333333333333333
experienced_vomiting,0.022222222222222223
experienced_pneumonia,0.011111111111111112
experienced_chest_pain,0.011111111111111112
experienced_flu_like_symptoms,0.007407407407407408
experienced_loss_of_appetite,0.007407407407407408
experienced_nausea,0.007407407407407408
experienced_thirst,0.003703703703703704
experienced_reflux,0.003703703703703704
experienced_abdominal_pain,0.003703703703703704
